"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RVR","February 2023",603,527,0.874,570,509,0.892,33,19,0.567,25,15,0.581,0,0,NA,0,0,NA
"RVV","February 2023",1131,1062,0.939,1073,1024,0.954,58,38,0.66,38,29,0.749,0,0,NA,44,20,0.458
"RVW","February 2023",546,496,0.91,520,481,0.926,26,15,0.585,16,12,0.739,0,0,NA,0,0,NA
"RVY","February 2023",357,353,0.987,357,353,0.987,0,0,NA,18,10,0.554,0,0,NA,0,0,NA
"RWA","February 2023",1105,1043,0.944,1059,1019,0.963,46,24,0.514,44,35,0.795,0,0,NA,5,4,0.723
"RWD","February 2023",1037,965,0.931,1005,943,0.938,32,23,0.702,25,17,0.69,0,0,NA,23,14,0.617
"RWE","February 2023",1693,1564,0.924,1588,1484,0.935,105,80,0.759,84,56,0.661,14,13,0.969,42,31,0.731
"RWF","February 2023",711,644,0.906,686,622,0.905,25,23,0.911,31,17,0.536,0,0,NA,0,0,NA
"RWG","February 2023",671,606,0.903,633,584,0.921,38,22,0.588,19,15,0.788,0,0,NA,7,5,0.739
"RWH","February 2023",565,536,0.949,546,523,0.958,19,13,0.691,18,15,0.857,0,0,NA,10,5,0.529
"RWJ","February 2023",648,623,0.961,628,606,0.965,21,18,0.856,13,9,0.676,0,0,NA,5,4,0.743
"RWP","February 2023",758,717,0.946,727,694,0.954,31,23,0.744,15,11,0.725,0,0,NA,6,1,0.244
"RWW","February 2023",558,522,0.935,519,502,0.968,39,19,0.497,18,15,0.817,0,0,NA,3,1,0.286
"RWY","February 2023",679,665,0.979,642,637,0.992,37,28,0.742,13,8,0.591,0,0,NA,6,4,0.589
"RX1","February 2023",1696,1574,0.928,1586,1486,0.937,110,88,0.797,66,51,0.765,14,12,0.843,40,31,0.783
"RXC","February 2023",787,757,0.962,770,745,0.968,17,12,0.676,19,15,0.783,0,0,NA,12,6,0.521
"RXF","February 2023",997,932,0.935,950,914,0.962,47,18,0.375,18,10,0.544,0,0,NA,7,3,0.413
"RXK","February 2023",636,606,0.952,601,580,0.965,35,25,0.726,18,14,0.744,0,0,NA,10,0,0
"RXL","February 2023",843,784,0.931,799,758,0.949,44,26,0.595,36,14,0.393,0,0,NA,4,2,0.518
"RXN","February 2023",904,853,0.944,874,831,0.951,30,22,0.733,34,29,0.862,0,0,NA,28,17,0.622
"RXP","February 2023",835,755,0.905,804,735,0.915,31,20,0.66,21,12,0.568,0,0,NA,0,0,NA
"RXQ","February 2023",498,478,0.96,472,455,0.963,25,23,0.903,19,17,0.877,0,0,NA,5,2,0.443
"RXR","February 2023",729,689,0.945,675,657,0.973,54,32,0.595,28,21,0.767,0,0,NA,8,3,0.353
"RXW","February 2023",767,702,0.916,731,680,0.931,36,22,0.617,22,15,0.669,0,0,NA,6,3,0.506
"RYJ","February 2023",1066,947,0.888,1026,919,0.896,40,28,0.704,102,82,0.809,11,9,0.832,37,18,0.502
"RYR","February 2023",1808,1726,0.955,1720,1658,0.964,87,68,0.779,69,54,0.776,0,0,NA,67,33,0.494
"R0A","March 2023",2289,2040,0.891,1991,1799,0.904,298,241,0.808,127,98,0.775,38,38,1,63,48,0.763
"R0B","March 2023",1116,1005,0.9,1068,977,0.915,48,27,0.57,22,12,0.554,0,0,NA,6,5,0.85
"R0D","March 2023",1109,1049,0.945,1083,1030,0.951,26,18,0.706,22,17,0.788,0,0,NA,20,13,0.645
"R1F","March 2023",269,256,0.953,258,248,0.959,11,8,0.794,7,6,0.877,0,0,NA,0,0,NA
"R1H","March 2023",1673,1521,0.909,1527,1394,0.913,146,127,0.868,119,109,0.912,4,3,0.799,52,46,0.878
"R1K","March 2023",1018,973,0.956,992,953,0.961,26,20,0.783,56,51,0.907,0,0,NA,5,2,0.355
"RA2","March 2023",494,472,0.955,465,455,0.978,29,17,0.597,17,15,0.924,0,0,NA,4,2,0.435
"RA4","March 2023",371,356,0.96,347,342,0.985,24,14,0.601,11,9,0.856,0,0,NA,0,0,NA
"RA7","March 2023",1005,946,0.941,864,823,0.953,142,122,0.864,48,39,0.806,18,15,0.844,31,21,0.689
"RA9","March 2023",373,361,0.968,351,343,0.978,22,17,0.799,10,6,0.613,0,0,NA,0,0,NA
"RAE","March 2023",613,560,0.914,574,531,0.925,39,29,0.745,13,11,0.905,0,0,NA,11,11,0.988
"RAJ","March 2023",1855,1702,0.918,1781,1658,0.931,74,44,0.599,80,74,0.915,0,0,NA,29,18,0.646
"RAL","March 2023",993,973,0.98,948,933,0.984,45,40,0.898,69,62,0.894,0,0,NA,4,2,0.395
"RAN","March 2023",156,116,0.742,130,99,0.762,27,17,0.643,8,4,0.444,4,2,0.444,0,0,0
"RAP","March 2023",530,521,0.982,514,506,0.983,16,15,0.958,19,17,0.9,0,0,NA,6,6,0.968
"RAS","March 2023",372,346,0.931,348,327,0.94,24,19,0.805,12,9,0.734,0,0,NA,18,9,0.493
"RAX","March 2023",410,381,0.929,386,368,0.953,24,13,0.544,15,12,0.809,0,0,NA,20,8,0.41
"RBD","March 2023",335,324,0.968,323,315,0.976,12,9,0.748,8,8,0.915,0,0,NA,0,0,NA
"RBK","March 2023",559,542,0.971,517,510,0.987,42,32,0.773,13,12,0.889,0,0,NA,2,1,0.339
"RBL","March 2023",787,751,0.954,768,737,0.959,19,15,0.767,18,10,0.543,0,0,NA,7,6,0.806
"RBN","March 2023",754,734,0.973,723,713,0.986,31,21,0.674,14,10,0.698,0,0,NA,0,0,NA
"RBQ","March 2023",152,126,0.829,152,126,0.829,0,0,NA,30,25,0.828,0,0,NA,0,0,NA
"RBS","March 2023",214,154,0.722,0,0,NA,214,154,0.722,0,0,NA,21,15,0.694,0,0,NA
"RBT","March 2023",506,492,0.972,479,473,0.988,27,19,0.693,11,7,0.672,0,0,NA,15,7,0.449
"RBV","March 2023",178,177,0.994,178,177,0.994,0,0,NA,8,7,0.875,0,0,NA,0,0,NA
"RC9","March 2023",1061,1033,0.973,964,944,0.979,98,89,0.914,26,15,0.582,0,0,NA,22,16,0.739
"RCB","March 2023",856,787,0.919,816,765,0.938,41,22,0.541,34,16,0.455,0,0,NA,2,1,0.613
"RCD","March 2023",318,275,0.865,301,266,0.883,17,9,0.554,11,4,0.334,0,0,NA,0,0,NA
"RCF","March 2023",368,341,0.926,351,327,0.931,17,14,0.818,7,5,0.772,0,0,NA,0,0,NA
"RCU","March 2023",152,114,0.751,0,0,NA,152,114,0.751,0,0,NA,9,7,0.814,2,1,0.548
"RCX","March 2023",538,525,0.976,518,510,0.985,20,15,0.731,13,8,0.653,0,0,NA,3,1,0.333
"RD1","March 2023",532,515,0.969,510,498,0.977,22,17,0.784,13,12,0.915,0,0,NA,7,5,0.737
"RD8","March 2023",546,504,0.924,503,479,0.953,43,25,0.581,10,8,0.768,0,0,NA,4,3,0.758
"RDE","March 2023",1251,1208,0.966,1210,1176,0.972,41,32,0.784,28,22,0.77,0,0,NA,10,6,0.581
"RDU","March 2023",1350,1323,0.98,1278,1273,0.996,71,50,0.706,24,22,0.913,0,0,NA,11,6,0.558
"REF","March 2023",670,642,0.957,634,623,0.983,37,19,0.513,15,12,0.764,0,0,NA,7,5,0.659
"REM","March 2023",1551,1482,0.955,1551,1482,0.955,0,0,NA,59,48,0.802,0,0,NA,0,0,NA
"REN","March 2023",103,94,0.909,103,94,0.909,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"REP","March 2023",24,15,0.621,24,15,0.621,0,0,NA,2,1,0.484,0,0,NA,44,36,0.81
"RET","March 2023",153,140,0.911,153,140,0.911,0,0,NA,20,14,0.69,0,0,NA,0,0,NA
"RF4","March 2023",1000,947,0.948,961,912,0.95,39,35,0.894,57,49,0.852,0,0,NA,11,8,0.76
"RFF","March 2023",440,412,0.936,432,407,0.942,8,5,0.627,24,17,0.699,0,0,NA,2,1,0.435
"RFR","March 2023",455,421,0.925,433,409,0.943,22,13,0.578,13,9,0.73,0,0,NA,14,8,0.576
"RFS","March 2023",535,511,0.955,512,493,0.963,23,17,0.77,15,11,0.753,0,0,NA,3,1,0.183
"RGM","March 2023",180,164,0.91,180,164,0.91,0,0,NA,35,31,0.901,0,0,NA,0,0,NA
"RGN","March 2023",915,889,0.971,872,856,0.982,43,33,0.76,22,15,0.673,0,0,NA,4,3,0.715
"RGP","March 2023",458,432,0.942,429,414,0.965,29,17,0.595,12,9,0.742,0,0,NA,9,5,0.545
"RGR","March 2023",457,423,0.926,442,415,0.939,15,8,0.559,16,14,0.859,0,0,NA,12,6,0.487
"RGT","March 2023",989,955,0.965,911,894,0.981,78,61,0.778,60,52,0.857,9,4,0.448,49,30,0.614
"RH5","March 2023",658,622,0.945,617,599,0.971,41,23,0.565,16,11,0.718,0,0,NA,8,5,0.56
"RH8","March 2023",1156,1087,0.94,1102,1059,0.961,54,27,0.511,37,24,0.64,0,0,NA,8,4,0.456
"RHM","March 2023",1083,1039,0.96,995,956,0.961,88,83,0.942,86,82,0.952,15,13,0.905,12,5,0.449
"RHQ","March 2023",1517,1374,0.906,1517,1374,0.906,0,0,NA,117,83,0.708,0,0,NA,50,26,0.524
"RHU","March 2023",1117,1088,0.974,1087,1065,0.979,30,23,0.772,20,20,0.971,0,0,NA,14,9,0.613
"RHW","March 2023",605,573,0.947,546,528,0.968,59,44,0.751,20,19,0.982,0,0,NA,2,1,0.403
"RJ1","March 2023",964,852,0.884,844,759,0.899,120,94,0.779,80,69,0.865,19,16,0.862,20,17,0.868
"RJ2","March 2023",913,893,0.978,880,864,0.982,33,29,0.877,36,29,0.819,0,0,NA,5,1,0.265
"RJ6","March 2023",499,490,0.981,481,476,0.99,18,13,0.746,15,11,0.703,0,0,NA,9,6,0.656
"RJ7","March 2023",853,809,0.948,802,764,0.952,51,45,0.886,62,54,0.872,15,11,0.755,40,31,0.794
"RJC","March 2023",395,373,0.946,378,363,0.962,17,10,0.584,7,4,0.613,0,0,NA,12,4,0.36
"RJE","March 2023",1346,1232,0.915,1294,1188,0.917,52,45,0.86,58,50,0.859,6,5,0.774,12,11,0.876
"RJL","March 2023",666,601,0.903,621,577,0.929,44,23,0.529,14,12,0.882,0,0,NA,25,14,0.546
"RJN","March 2023",316,302,0.956,301,291,0.97,15,10,0.68,6,3,0.554,0,0,NA,0,0,NA
"RJR","March 2023",472,458,0.969,450,447,0.993,22,10,0.474,15,12,0.811,0,0,NA,12,5,0.422
"RJZ","March 2023",1235,1197,0.969,1163,1125,0.968,72,71,0.984,123,116,0.94,15,13,0.867,48,42,0.879
"RK5","March 2023",658,632,0.96,632,615,0.974,26,16,0.626,12,11,0.86,0,0,NA,10,3,0.297
"RK9","March 2023",1024,963,0.941,969,938,0.968,55,25,0.457,46,26,0.569,0,0,NA,15,7,0.492
"RKB","March 2023",1063,1035,0.973,1004,989,0.985,59,46,0.776,44,34,0.781,0,0,NA,27,22,0.804
"RKE","March 2023",262,254,0.971,245,241,0.986,17,13,0.763,10,9,0.886,0,0,NA,6,3,0.527
"RL1","March 2023",146,118,0.808,137,114,0.833,9,4,0.433,5,4,0.71,0,0,NA,0,0,NA
"RL4","March 2023",872,814,0.934,832,781,0.939,40,33,0.827,28,17,0.591,0,0,NA,14,13,0.922
"RLQ","March 2023",302,294,0.972,287,278,0.971,15,15,1,8,7,0.903,0,0,NA,3,1,0.183
"RLT","March 2023",305,305,1,305,305,1,0,0,NA,8,6,0.698,0,0,NA,0,0,NA
"RM1","March 2023",1003,945,0.942,961,925,0.963,43,20,0.48,29,22,0.769,0,0,NA,15,13,0.856
"RM3","March 2023",1524,1385,0.908,1475,1361,0.922,49,24,0.49,64,56,0.887,0,0,NA,9,6,0.613
"RMC","March 2023",635,566,0.892,557,519,0.932,78,47,0.607,18,13,0.728,0,0,NA,38,24,0.632
"RMP","March 2023",429,403,0.939,389,379,0.973,40,24,0.601,9,7,0.792,0,0,NA,1,0,0
"RN3","March 2023",551,530,0.963,516,509,0.986,34,21,0.619,12,10,0.81,0,0,NA,8,6,0.762
"RN5","March 2023",807,786,0.973,774,752,0.972,34,34,1,27,17,0.644,0,0,NA,4,1,0.185
"RN7","March 2023",575,514,0.893,531,482,0.907,44,32,0.728,13,11,0.809,0,0,NA,0,0,NA
"RNA","March 2023",623,591,0.948,592,575,0.971,31,16,0.524,31,23,0.734,0,0,NA,18,14,0.79
"RNN","March 2023",636,582,0.915,589,562,0.954,47,20,0.432,14,10,0.7,0,0,NA,0,0,NA
"RNQ","March 2023",567,559,0.986,541,535,0.99,26,24,0.916,29,9,0.315,0,0,NA,4,1,0.282
"RNS","March 2023",673,647,0.961,607,597,0.983,66,50,0.758,16,11,0.694,0,0,NA,2,1,0.587
"RNZ","March 2023",465,448,0.965,449,439,0.978,16,9,0.593,10,6,0.645,0,0,NA,4,0,0.105
"RP4","March 2023",252,212,0.84,0,0,NA,252,212,0.84,0,0,NA,47,40,0.851,0,0,NA
"RP5","March 2023",677,615,0.909,653,602,0.922,24,13,0.534,25,21,0.835,0,0,NA,3,1,0.357
"RP6","March 2023",10,3,0.345,10,3,0.345,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"RPA","March 2023",525,493,0.939,489,475,0.971,36,18,0.492,23,18,0.779,0,0,NA,19,11,0.543
"RPC","March 2023",40,22,0.555,38,22,0.579,2,0,0.097,3,2,0.768,0,0,NA,0,0,NA
"RPY","March 2023",195,163,0.835,180,151,0.84,15,12,0.77,16,9,0.58,0,0,NA,0,0,NA
"RQ3","March 2023",273,241,0.883,24,13,0.53,249,228,0.917,0,0,NA,29,27,0.956,21,13,0.647
"RQM","March 2023",724,705,0.974,668,668,1,56,37,0.664,25,23,0.936,10,7,0.684,50,39,0.783
"RQW","March 2023",461,442,0.958,442,430,0.973,19,11,0.601,12,8,0.694,0,0,NA,6,5,0.801
"RQX","March 2023",269,244,0.909,251,233,0.93,18,11,0.608,12,12,0.997,0,0,NA,24,19,0.796
"RR7","March 2023",467,442,0.947,467,442,0.947,0,0,NA,12,8,0.687,0,0,NA,0,0,NA
"RR8","March 2023",1774,1754,0.989,1643,1631,0.993,131,123,0.938,59,57,0.964,16,13,0.821,24,21,0.874
"RRF","March 2023",417,416,0.997,417,416,0.997,0,0,NA,11,7,0.633,0,0,NA,1,1,0.613
"RRJ","March 2023",98,69,0.701,98,69,0.701,0,0,NA,6,4,0.64,0,0,NA,0,0,NA
"RRK","March 2023",2466,2368,0.96,2388,2313,0.969,78,55,0.706,87,83,0.956,0,0,NA,12,10,0.847
"RRV","March 2023",651,621,0.953,651,621,0.953,0,0,NA,67,48,0.717,0,0,NA,30,24,0.795
"RTD","March 2023",1387,1296,0.934,1233,1165,0.945,153,131,0.851,89,64,0.717,25,19,0.769,12,10,0.817
"RTE","March 2023",860,814,0.947,814,788,0.968,46,26,0.572,25,15,0.609,0,0,NA,12,6,0.478
"RTF","March 2023",846,766,0.906,828,756,0.914,18,10,0.557,15,8,0.559,0,0,NA,12,6,0.516
"RTG","March 2023",1421,1323,0.931,1380,1296,0.939,40,27,0.676,50,44,0.871,0,0,NA,29,22,0.778
"RTH","March 2023",1015,979,0.965,936,910,0.972,78,69,0.876,57,45,0.789,17,12,0.696,33,33,0.995
"RTK","March 2023",423,399,0.944,403,382,0.949,20,17,0.844,11,9,0.784,0,0,NA,8,6,0.722
"RTP","March 2023",695,691,0.995,671,669,0.997,23,22,0.939,16,15,0.926,0,0,NA,23,14,0.593
"RTR","March 2023",895,835,0.933,847,801,0.945,48,34,0.713,61,54,0.889,0,0,1,15,7,0.486
"RTX","March 2023",641,582,0.908,608,562,0.924,33,20,0.604,14,10,0.737,0,0,NA,1,0,0
"RVJ","March 2023",895,872,0.974,895,872,0.974,0,0,NA,46,32,0.686,0,0,NA,32,27,0.839
"RVR","March 2023",598,538,0.9,565,520,0.92,33,18,0.548,25,19,0.748,0,0,NA,0,0,NA
"RVV","March 2023",1135,1061,0.935,1076,1019,0.946,59,43,0.727,38,30,0.788,0,0,NA,44,21,0.466
"RVW","March 2023",539,487,0.904,513,472,0.92,26,15,0.596,16,11,0.7,0,0,NA,0,0,NA
"RVY","March 2023",358,356,0.995,358,356,0.995,0,0,NA,18,9,0.507,0,0,NA,0,0,NA
"RWA","March 2023",1110,1045,0.941,1064,1019,0.957,46,26,0.574,44,37,0.845,0,0,NA,5,5,0.888
"RWD","March 2023",1025,945,0.922,993,922,0.928,32,24,0.73,25,16,0.649,0,0,NA,23,14,0.613
"RWE","March 2023",1692,1558,0.921,1585,1480,0.934,107,78,0.729,87,52,0.6,13,13,0.943,42,35,0.833
"RWF","March 2023",716,655,0.915,690,631,0.915,26,24,0.917,31,17,0.547,0,0,NA,0,0,NA
"RWG","March 2023",663,594,0.895,625,569,0.909,38,25,0.661,19,14,0.727,0,0,NA,7,3,0.488
"RWH","March 2023",569,532,0.934,545,516,0.946,24,16,0.657,18,14,0.796,0,0,NA,10,7,0.669
"RWJ","March 2023",665,640,0.962,643,619,0.963,22,21,0.948,13,8,0.582,0,0,NA,5,1,0.2
"RWP","March 2023",762,711,0.932,731,688,0.941,31,22,0.724,16,13,0.815,0,0,NA,6,1,0.204
"RWW","March 2023",559,527,0.942,520,507,0.974,39,20,0.512,18,16,0.898,0,0,NA,3,1,0.269
"RWY","March 2023",668,657,0.982,631,626,0.993,38,30,0.799,13,9,0.665,0,0,NA,6,3,0.462
"RX1","March 2023",1691,1548,0.916,1583,1464,0.925,108,84,0.781,66,49,0.748,14,12,0.836,40,29,0.726
"RXC","March 2023",790,771,0.976,773,757,0.979,17,15,0.847,19,15,0.8,0,0,NA,12,6,0.513
"RXF","March 2023",1009,946,0.938,962,929,0.966,47,17,0.369,18,11,0.606,0,0,NA,7,2,0.258
"RXK","March 2023",649,626,0.964,614,600,0.977,35,26,0.737,18,13,0.732,0,0,NA,10,0,0
"RXL","March 2023",832,777,0.934,788,749,0.95,44,29,0.652,36,21,0.588,0,0,NA,4,3,0.629
"RXN","March 2023",888,840,0.946,858,818,0.953,30,22,0.725,34,27,0.799,0,0,NA,28,16,0.563
"RXP","March 2023",834,734,0.88,803,714,0.889,31,20,0.631,21,10,0.49,0,0,NA,0,0,NA
"RXQ","March 2023",489,467,0.954,464,444,0.956,25,23,0.906,18,14,0.792,0,0,NA,5,2,0.449
"RXR","March 2023",729,686,0.94,675,651,0.964,54,35,0.648,28,22,0.791,0,0,NA,8,4,0.524
"RXW","March 2023",766,696,0.909,730,670,0.919,36,25,0.702,22,14,0.629,0,0,1,6,4,0.675
"RYJ","March 2023",1069,934,0.874,1030,903,0.877,39,31,0.797,102,80,0.784,12,10,0.835,37,19,0.508
"RYR","March 2023",1780,1713,0.962,1695,1648,0.973,86,65,0.755,63,54,0.864,0,0,NA,67,34,0.504
"R0A","April 2023",2264,2018,0.891,1965,1782,0.907,299,236,0.791,123,92,0.748,38,38,1,63,48,0.761
"R0B","April 2023",1122,987,0.88,1074,962,0.896,48,25,0.517,22,13,0.568,0,0,NA,6,5,0.831
"R0D","April 2023",1083,1015,0.937,1057,1001,0.947,26,14,0.547,22,16,0.726,0,0,NA,20,12,0.59
"R1F","April 2023",273,267,0.98,262,259,0.988,10,8,0.765,6,5,0.762,0,0,NA,0,0,NA
"R1H","April 2023",1663,1464,0.881,1519,1349,0.888,144,115,0.798,114,99,0.871,4,2,0.679,52,43,0.821
"R1K","April 2023",1013,970,0.957,986,947,0.96,27,23,0.861,56,49,0.869,0,0,NA,5,3,0.553
"RA2","April 2023",490,456,0.93,461,440,0.955,29,15,0.533,14,13,0.928,0,0,NA,4,1,0.35
"RA4","April 2023",12,12,0.962,12,12,0.997,1,0,0.458,0,0,1,0,0,NA,0,0,NA
"RA7","April 2023",991,915,0.924,854,803,0.94,137,113,0.822,48,38,0.799,18,13,0.724,31,25,0.82
"RA9","April 2023",370,353,0.954,348,337,0.967,21,16,0.738,10,5,0.487,0,0,NA,0,0,NA
"RAE","April 2023",611,554,0.907,572,525,0.917,39,29,0.754,13,11,0.899,0,0,NA,12,12,1
"RAJ","April 2023",1800,1664,0.924,1726,1626,0.942,74,38,0.514,76,68,0.897,0,0,0.333,29,19,0.64
"RAL","April 2023",1022,971,0.951,976,933,0.956,46,38,0.835,70,62,0.88,0,0,NA,4,2,0.383
"RAN","April 2023",155,112,0.725,130,96,0.736,25,16,0.667,8,3,0.346,4,2,0.467,0,0,NA
"RAP","April 2023",557,547,0.982,541,532,0.984,16,15,0.915,23,20,0.873,0,0,NA,6,6,0.988
"RAS","April 2023",358,324,0.905,336,308,0.918,22,16,0.714,11,9,0.795,0,0,NA,17,10,0.599
"RAX","April 2023",410,368,0.898,386,357,0.926,24,11,0.443,15,11,0.718,0,0,NA,20,10,0.498
"RBD","April 2023",327,289,0.885,313,283,0.904,14,7,0.471,8,6,0.792,0,0,NA,0,0,NA
"RBK","April 2023",538,513,0.953,496,483,0.975,42,29,0.694,13,8,0.587,0,0,NA,2,1,0.25
"RBL","April 2023",788,735,0.933,769,721,0.938,19,14,0.728,18,11,0.619,0,0,NA,7,5,0.676
"RBN","April 2023",740,717,0.97,709,697,0.983,30,20,0.671,14,9,0.676,0,0,NA,0,0,NA
"RBQ","April 2023",152,117,0.767,152,117,0.767,0,0,NA,30,22,0.734,0,0,NA,0,0,NA
"RBS","April 2023",211,146,0.692,0,0,NA,211,146,0.692,0,0,NA,21,13,0.608,0,0,NA
"RBT","April 2023",501,475,0.947,474,461,0.973,27,13,0.498,11,6,0.582,0,0,NA,15,10,0.698
"RBV","April 2023",178,177,0.994,178,177,0.994,0,0,NA,8,7,0.875,0,0,NA,0,0,NA
"RC9","April 2023",1037,984,0.949,942,903,0.958,95,81,0.852,26,13,0.487,0,0,NA,22,16,0.725
"RCB","April 2023",857,784,0.915,816,764,0.936,41,20,0.486,35,15,0.431,0,0,NA,2,1,0.5
"RCD","April 2023",308,240,0.779,291,232,0.796,17,8,0.49,11,5,0.479,0,0,NA,0,0,NA
"RCF","April 2023",352,328,0.933,335,314,0.94,17,14,0.796,7,6,0.79,0,0,NA,0,0,NA
"RCU","April 2023",148,98,0.661,0,0,NA,148,98,0.661,0,0,NA,8,5,0.698,2,1,0.35
"RCX","April 2023",540,519,0.961,520,505,0.972,20,14,0.69,13,8,0.615,0,0,NA,3,0,0.034
"RD1","April 2023",535,509,0.952,514,494,0.961,20,15,0.723,13,10,0.793,0,0,NA,7,6,0.786
"RD8","April 2023",546,496,0.908,503,473,0.94,43,23,0.532,10,8,0.827,0,0,NA,4,3,0.817
"RDE","April 2023",1203,1131,0.94,1162,1103,0.949,41,28,0.694,28,20,0.726,0,0,NA,10,7,0.698
"RDU","April 2023",1302,1254,0.963,1225,1212,0.989,78,43,0.552,25,24,0.951,0,0,NA,10,5,0.523
"REF","April 2023",672,640,0.953,635,623,0.98,37,18,0.478,15,12,0.786,0,0,NA,7,3,0.495
"REM","April 2023",1556,1462,0.94,1556,1462,0.94,0,0,NA,59,44,0.747,0,0,NA,0,0,NA
"REN","April 2023",100,83,0.83,100,83,0.83,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"REP","April 2023",24,12,0.518,24,12,0.518,0,0,NA,2,1,0.35,0,0,NA,44,38,0.868
"RET","April 2023",147,124,0.842,147,124,0.842,0,0,NA,20,15,0.727,0,0,NA,0,0,NA
"RF4","April 2023",994,924,0.93,955,893,0.935,39,32,0.812,57,50,0.878,0,0,NA,11,11,0.961
"RFF","April 2023",424,391,0.922,416,387,0.93,8,4,0.525,24,17,0.725,0,0,NA,2,1,0.517
"RFR","April 2023",456,416,0.911,434,404,0.93,22,12,0.533,13,9,0.672,0,0,NA,14,6,0.4
"RFS","April 2023",530,499,0.942,508,486,0.957,22,13,0.591,15,13,0.84,0,0,NA,3,1,0.467
"RGM","April 2023",179,158,0.881,179,158,0.881,0,0,NA,33,27,0.811,0,0,NA,0,0,NA
"RGN","April 2023",906,873,0.964,863,845,0.98,43,27,0.632,22,15,0.68,0,0,NA,4,3,0.688
"RGP","April 2023",458,427,0.932,429,412,0.959,29,15,0.522,12,9,0.758,0,0,0,9,7,0.737
"RGR","April 2023",451,411,0.913,436,405,0.93,15,6,0.427,16,12,0.768,0,0,NA,12,5,0.424
"RGT","April 2023",998,934,0.936,921,878,0.953,77,56,0.729,62,51,0.82,9,3,0.367,48,32,0.666
"RH5","April 2023",1005,948,0.943,940,911,0.969,65,37,0.567,27,18,0.687,0,0,NA,8,4,0.573
"RH8","April 2023",1127,1022,0.907,1075,997,0.928,53,25,0.476,37,23,0.623,0,0,NA,8,2,0.283
"RHM","April 2023",1078,1021,0.948,987,944,0.956,90,78,0.861,84,77,0.92,14,12,0.844,12,9,0.74
"RHQ","April 2023",1510,1321,0.875,1510,1321,0.875,0,0,NA,117,80,0.681,0,0,NA,50,24,0.479
"RHU","April 2023",1107,1068,0.965,1077,1051,0.976,30,17,0.572,21,21,0.981,0,0,NA,14,9,0.61
"RHW","April 2023",606,562,0.926,547,522,0.954,59,39,0.668,18,16,0.884,0,0,NA,2,0,0.217
"RJ1","April 2023",956,819,0.857,836,733,0.877,120,86,0.717,80,61,0.76,19,16,0.826,20,16,0.822
"RJ2","April 2023",903,872,0.965,872,847,0.971,32,25,0.785,36,27,0.758,0,0,NA,5,1,0.26
"RJ6","April 2023",486,473,0.974,468,461,0.986,18,12,0.657,15,11,0.707,0,0,NA,9,7,0.804
"RJ7","April 2023",841,801,0.953,790,757,0.959,51,44,0.865,62,54,0.867,15,11,0.702,40,35,0.871
"RJC","April 2023",376,343,0.913,360,335,0.933,16,8,0.487,7,3,0.438,0,0,NA,12,6,0.543
"RJE","April 2023",1343,1208,0.9,1291,1172,0.908,52,37,0.704,58,52,0.889,6,2,0.367,12,7,0.611
"RJL","April 2023",676,600,0.887,633,581,0.919,43,18,0.425,14,12,0.862,0,0,NA,25,10,0.39
"RJN","April 2023",311,298,0.956,296,288,0.973,15,9,0.618,8,3,0.429,0,0,NA,0,0,NA
"RJR","April 2023",470,450,0.959,448,440,0.983,22,10,0.465,15,11,0.74,0,0,NA,12,9,0.719
"RJZ","April 2023",1225,1175,0.959,1155,1106,0.958,70,69,0.979,122,111,0.91,15,12,0.763,48,40,0.839
"RK5","April 2023",653,614,0.939,626,600,0.958,27,14,0.507,12,10,0.806,0,0,NA,10,4,0.35
"RK9","April 2023",1037,958,0.923,985,932,0.947,53,25,0.477,46,23,0.493,0,0,NA,15,13,0.898
"RKB","April 2023",1044,1003,0.96,985,961,0.975,59,42,0.71,44,35,0.798,0,0,NA,27,21,0.759
"RKE","April 2023",262,253,0.967,245,242,0.988,17,11,0.671,10,8,0.77,0,0,NA,6,4,0.611
"RL1","April 2023",144,119,0.826,137,115,0.844,7,3,0.486,5,3,0.596,0,0,NA,0,0,NA
"RL4","April 2023",870,798,0.918,830,765,0.922,40,33,0.835,28,19,0.663,0,0,NA,14,12,0.857
"RLQ","April 2023",305,290,0.953,288,274,0.95,17,17,1,8,7,0.854,0,0,NA,3,1,0.367
"RLT","April 2023",305,305,1,305,305,1,0,0,NA,8,6,0.713,0,0,NA,0,0,NA
"RM1","April 2023",1006,941,0.936,964,925,0.959,42,16,0.389,29,22,0.787,0,0,NA,15,12,0.831
"RM3","April 2023",1521,1352,0.889,1472,1329,0.903,49,23,0.464,61,58,0.936,0,0,NA,9,4,0.496
