"hb19_code","date","year","month","specialty","waits_over_18_weeks_count","waits_over_18_weeks_percent"
"S08000024",2013-06-01,2013,"Jun","All Specialties",1416,0.104819009549189
"S08000025",2013-06-01,2013,"Jun","All Specialties",9,0.0365853658536583
"S08000026",2013-06-01,2013,"Jun","All Specialties",99,0.155660377358491
"S08000027",2013-06-01,2013,"Jun","All Specialties",634,0.0637955323002616
"S08000028",2013-06-01,2013,"Jun","All Specialties",26,0.0449050086355786
"SB0801",2013-06-01,2013,"Jun","All Specialties",0,0
"S08000015",2013-07-01,2013,"Jul","All Specialties",488,0.0741754065967472
"S08000016",2013-07-01,2013,"Jul","All Specialties",202,0.0654145077720208
"S08000017",2013-07-01,2013,"Jul","All Specialties",97,0.041991341991342
"S08000018",2013-07-01,2013,"Jul","All Specialties",525,0.0712444022255394
"S08000019",2013-07-01,2013,"Jul","All Specialties",819,0.156357388316151
"S08000020",2013-07-01,2013,"Jul","All Specialties",700,0.0989539157478088
"S08000021",2013-07-01,2013,"Jul","All Specialties",2770,0.0897514823575156
"S08000022",2013-07-01,2013,"Jul","All Specialties",493,0.070008520306731
"S08000023",2013-07-01,2013,"Jul","All Specialties",359,0.0418366157790468
"S08000024",2013-07-01,2013,"Jul","All Specialties",1659,0.115456886352565
"S08000025",2013-07-01,2013,"Jul","All Specialties",5,0.018939393939394
"S08000026",2013-07-01,2013,"Jul","All Specialties",23,0.0424354243542436
"S08000027",2013-07-01,2013,"Jul","All Specialties",578,0.0594161184210527
"S08000028",2013-07-01,2013,"Jul","All Specialties",31,0.0532646048109966
"SB0801",2013-07-01,2013,"Jul","All Specialties",0,0
"S08000015",2013-08-01,2013,"Aug","All Specialties",535,0.0763958303584178
"S08000016",2013-08-01,2013,"Aug","All Specialties",236,0.0725038402457756
"S08000017",2013-08-01,2013,"Aug","All Specialties",182,0.0796150481189852
"S08000018",2013-08-01,2013,"Aug","All Specialties",589,0.0765631093201613
"S08000019",2013-08-01,2013,"Aug","All Specialties",1109,0.184096945551129
"S08000020",2013-08-01,2013,"Aug","All Specialties",659,0.0891383741376979
"S08000021",2013-08-01,2013,"Aug","All Specialties",2491,0.0878411735665421
"S08000022",2013-08-01,2013,"Aug","All Specialties",460,0.0660919540229884
"S08000023",2013-08-01,2013,"Aug","All Specialties",625,0.0625312656328164
"S08000024",2013-08-01,2013,"Aug","All Specialties",1725,0.116404615696066
"S08000025",2013-08-01,2013,"Aug","All Specialties",11,0.0423076923076924
"S08000026",2013-08-01,2013,"Aug","All Specialties",34,0.0515933232169956
"S08000027",2013-08-01,2013,"Aug","All Specialties",621,0.0619760479041916
"S08000028",2013-08-01,2013,"Aug","All Specialties",53,0.104330708661417
"SB0801",2013-08-01,2013,"Aug","All Specialties",3,0.0172413793103448
"S08000015",2013-09-01,2013,"Sep","All Specialties",507,0.0783858998144712
"S08000016",2013-09-01,2013,"Sep","All Specialties",249,0.0808441558441558
"S08000017",2013-09-01,2013,"Sep","All Specialties",183,0.0783055198973043
"S08000018",2013-09-01,2013,"Sep","All Specialties",621,0.0828331332533012
"S08000019",2013-09-01,2013,"Sep","All Specialties",1022,0.189680772086117
"S08000020",2013-09-01,2013,"Sep","All Specialties",679,0.0967236467236468
"S08000021",2013-09-01,2013,"Sep","All Specialties",2459,0.0903379867744306
"S08000022",2013-09-01,2013,"Sep","All Specialties",547,0.08180050844923
"S08000023",2013-09-01,2013,"Sep","All Specialties",655,0.0685935700073306
"S08000024",2013-09-01,2013,"Sep","All Specialties",1660,0.110703567855952
"S08000025",2013-09-01,2013,"Sep","All Specialties",15,0.043731778425656
"S08000026",2013-09-01,2013,"Sep","All Specialties",21,0.0380434782608695
"S08000027",2013-09-01,2013,"Sep","All Specialties",662,0.064522417153996
"S08000028",2013-09-01,2013,"Sep","All Specialties",37,0.0682656826568264
"SB0801",2013-09-01,2013,"Sep","All Specialties",0,0
"S08000015",2013-10-01,2013,"Oct","All Specialties",582,0.0778699491570779
"S08000016",2013-10-01,2013,"Oct","All Specialties",295,0.0932953826691968
"S08000017",2013-10-01,2013,"Oct","All Specialties",161,0.0681049069373942
"S08000018",2013-10-01,2013,"Oct","All Specialties",642,0.0846295808067494
"S08000019",2013-10-01,2013,"Oct","All Specialties",1219,0.215447154471545
"S08000020",2013-10-01,2013,"Oct","All Specialties",744,0.0972549019607843
"S08000021",2013-10-01,2013,"Oct","All Specialties",2500,0.0854613202064747
"S08000022",2013-10-01,2013,"Oct","All Specialties",581,0.0849166910260157
"S08000023",2013-10-01,2013,"Oct","All Specialties",597,0.0573872921272709
"S08000024",2013-10-01,2013,"Oct","All Specialties",2080,0.135381411090862
"S08000025",2013-10-01,2013,"Oct","All Specialties",13,0.0410094637223977
"S08000026",2013-10-01,2013,"Oct","All Specialties",27,0.046153846153846
"S08000027",2013-10-01,2013,"Oct","All Specialties",635,0.0616684471205204
"S08000028",2013-10-01,2013,"Oct","All Specialties",38,0.0706319702602233
"SB0801",2013-10-01,2013,"Oct","All Specialties",0,0
"S08000015",2013-11-01,2013,"Nov","All Specialties",612,0.0891478514202475
"S08000016",2013-11-01,2013,"Nov","All Specialties",294,0.0995260663507109
"S08000017",2013-11-01,2013,"Nov","All Specialties",187,0.0798462852263024
"S08000018",2013-11-01,2013,"Nov","All Specialties",613,0.0823814003494153
"S08000019",2013-11-01,2013,"Nov","All Specialties",1194,0.198867421718854
"S08000020",2013-11-01,2013,"Nov","All Specialties",892,0.113025848960973
